date,model,model_rmse_kw,seven_day_rmse_kw,rmse_difference_model_minus_7day_kw,model_wins
2025-03-20,StructuralResidualHybrid,2027.90096526,145.24049844,1882.66046682,False
2025-03-21,StructuralResidualHybrid,2088.51595218,348.96980727,1739.54614491,False
2025-03-22,StructuralResidualHybrid,1880.05810073,188.70776123,1691.35033950,False
2025-03-23,StructuralResidualHybrid,1970.02259235,320.92831714,1649.09427522,False
2025-03-24,StructuralResidualHybrid,2245.43379838,222.14105349,2023.29274489,False
2025-03-25,StructuralResidualHybrid,1873.06068027,241.79692109,1631.26375919,False
2025-03-26,StructuralResidualHybrid,2175.39242663,368.06384162,1807.32858501,False
2025-03-27,StructuralResidualHybrid,1989.30004640,191.79821140,1797.50183500,False
2025-03-28,StructuralResidualHybrid,2084.81106657,190.56428131,1894.24678526,False
2025-03-29,StructuralResidualHybrid,2347.12462135,390.40030711,1956.72431424,False
2025-03-30,StructuralResidualHybrid,2124.76643532,240.32513496,1884.44130036,False
2025-03-31,StructuralResidualHybrid,2010.26905743,328.53641520,1681.73264223,False
2025-04-01,StructuralResidualHybrid,1872.63923135,471.82793908,1400.81129227,False
2025-04-02,StructuralResidualHybrid,1834.72586418,473.46006270,1361.26580148,False
2025-04-03,StructuralResidualHybrid,2292.20406503,265.66685539,2026.53720964,False
2025-04-04,StructuralResidualHybrid,2243.19113153,369.86793062,1873.32320091,False
2025-04-05,StructuralResidualHybrid,2282.27345407,243.64543435,2038.62801972,False
2025-04-06,StructuralResidualHybrid,2111.52306522,195.99680403,1915.52626119,False
2025-04-07,StructuralResidualHybrid,2352.20932716,392.96410926,1959.24521790,False
2025-04-08,StructuralResidualHybrid,2167.89576646,292.51752907,1875.37823739,False
2025-04-09,StructuralResidualHybrid,1864.79575835,366.51431732,1498.28144103,False
2025-04-10,StructuralResidualHybrid,2101.99099789,275.71325299,1826.27774489,False
2025-04-11,StructuralResidualHybrid,2262.94218328,347.92994018,1915.01224310,False
2025-04-12,StructuralResidualHybrid,2331.20148638,265.73576163,2065.46572476,False
2025-04-13,StructuralResidualHybrid,2077.64668799,211.67298577,1865.97370222,False
2025-04-14,StructuralResidualHybrid,2332.95179151,223.64838583,2109.30340568,False
2025-04-15,StructuralResidualHybrid,2284.38832739,413.77219375,1870.61613364,False
2025-04-16,StructuralResidualHybrid,1998.41974015,243.16963764,1755.25010251,False
