date,variable,model,count,mae_kw,rmse_kw,bias_kw
2025-04-05,load,Ridge phase-aware,144,123.03691725,148.87620907,-23.07005913
2025-04-06,load,Yesterday,144,1859.38838958,2042.01688632,-1858.44533403
2025-04-06,load,Last Week,144,128.78665833,159.29720846,32.88646944
2025-04-06,load,Ridge phase-aware,144,131.33044051,157.11466333,28.58018084
2025-04-07,load,Yesterday,144,122.95418958,151.67103328,7.92868958
2025-04-07,load,Last Week,144,125.63834792,157.02252606,2.52181597
2025-04-07,load,Ridge phase-aware,144,117.11988574,146.47757082,1.63440389
2025-04-08,load,Yesterday,144,106.89286667,132.07659179,-29.08950972
2025-04-08,load,Last Week,144,131.22178056,157.81061360,10.57733472
2025-04-08,load,Ridge phase-aware,144,126.95069485,152.37953463,15.79768594
2025-04-09,load,Yesterday,144,118.14184028,147.22344055,1.49032222
2025-04-09,load,Last Week,144,121.61998125,152.95509689,12.87945486
2025-04-09,load,Ridge phase-aware,144,120.32608564,152.89271873,6.84735525
2025-04-10,load,Yesterday,144,129.55249375,177.07844044,0.36757708
2025-04-10,load,Last Week,144,120.46951875,155.38454119,8.98980903
2025-04-10,load,Ridge phase-aware,144,116.80711249,151.85183036,5.99225635
2025-04-11,load,Yesterday,144,1901.36280278,2093.54136824,1899.02933056
2025-04-11,load,Last Week,144,133.12501944,163.65558841,-14.84353889
2025-04-11,load,Ridge phase-aware,144,138.80770937,172.40263555,-19.32069101
2025-04-12,load,Yesterday,144,140.98649931,188.61379255,5.61754097
2025-04-12,load,Last Week,144,119.57172778,151.54178295,26.89861667
2025-04-12,load,Ridge phase-aware,144,116.71290264,147.17144587,23.02682476
2025-04-13,load,Yesterday,144,1891.67637917,2079.41996029,-1888.57860139
2025-04-13,load,Last Week,144,131.58447153,161.95466086,-3.23465069
2025-04-13,load,Ridge phase-aware,144,146.71306251,178.26508843,-6.06882752
2025-04-14,load,Yesterday,144,125.18219097,157.39293480,-25.76293681
2025-04-14,load,Last Week,144,130.28781319,162.58943319,-36.92627708
2025-04-14,load,Ridge phase-aware,144,128.71346771,159.22882411,-37.43331269
2025-04-15,load,Yesterday,144,114.91461181,144.84987451,35.18614653
2025-04-15,load,Last Week,144,123.46917639,149.08852810,27.34937917
