date,model,daily_mae
2025-05-21,DLinear,700.4613303119
2025-05-21,Last Week,265.8169576389
2025-05-21,PhaseStructuralFusion,274.4848415625
2025-05-21,SSA best config,298.4204263262
2025-05-21,Yesterday,290.3592861111
2025-05-22,7-day same-slot mean,95.6256333334
2025-05-22,DLinear,673.4864831613
2025-05-22,Last Week,163.7751222222
2025-05-22,PhaseStructuralFusion,115.4738138889
2025-05-22,SSA best config,185.1405369316
2025-05-22,Yesterday,165.0183666667
2025-05-23,7-day same-slot mean,110.1366942462
2025-05-23,DLinear,638.9263867658
2025-05-23,Last Week,171.5026159722
2025-05-23,PhaseStructuralFusion,121.2553574653
2025-05-23,SSA best config,179.8374625283
2025-05-23,Yesterday,124.6740069444
2025-05-24,7-day same-slot mean,201.4387568453
2025-05-24,DLinear,737.1345124654
2025-05-24,Last Week,329.4700909722
2025-05-24,PhaseStructuralFusion,253.9144275347
2025-05-24,SSA best config,238.8423892521
2025-05-24,Yesterday,209.9768500000
2025-05-25,7-day same-slot mean,141.3495118054
2025-05-25,DLinear,739.7793484156
2025-05-25,Last Week,280.3187826389
2025-05-25,PhaseStructuralFusion,179.3226009722
2025-05-25,SSA best config,177.9389227586
2025-05-25,Yesterday,180.6232284722
2025-05-26,7-day same-slot mean,236.9093706347
2025-05-26,DLinear,654.3463576778
2025-05-26,Last Week,343.4055770833
2025-05-26,PhaseStructuralFusion,315.0340995486
2025-05-26,SSA best config,293.6560421019
2025-05-26,Yesterday,305.7341972222
2025-05-27,7-day same-slot mean,141.2975604165
2025-05-27,DLinear,728.3646560686
2025-05-27,Last Week,257.1947604167
2025-05-27,PhaseStructuralFusion,231.2218786458
2025-05-27,SSA best config,323.5051718452
2025-05-27,Yesterday,254.0988736111
2025-05-28,7-day same-slot mean,244.1155978173
2025-05-28,DLinear,717.5235124108
2025-05-28,Last Week,242.2941479167
2025-05-28,PhaseStructuralFusion,254.5485535764
2025-05-28,SSA best config,306.8305251303
2025-05-28,Yesterday,283.3335972222
2025-05-29,7-day same-slot mean,173.8829081347
2025-05-29,DLinear,641.3025349021
2025-05-29,Last Week,211.0099916667
2025-05-29,PhaseStructuralFusion,139.4900028125
2025-05-29,SSA best config,221.0125230961
2025-05-29,Yesterday,157.4030868056
2025-05-30,7-day same-slot mean,187.9815044642
2025-05-30,DLinear,613.6437476699
2025-05-30,Last Week,194.6304118056
2025-05-30,PhaseStructuralFusion,179.4723236111
2025-05-30,SSA best config,322.4932151794
2025-05-30,Yesterday,260.4829659722
2025-05-31,7-day same-slot mean,166.2370356150
2025-05-31,DLinear,618.7222808843
2025-05-31,Last Week,204.2320708333
2025-05-31,PhaseStructuralFusion,184.7640378819
2025-05-31,SSA best config,233.8449946617
2025-05-31,Yesterday,223.7889965278
2025-06-01,7-day same-slot mean,460.0277560516
2025-06-01,DLinear,728.7064743143
2025-06-01,Last Week,618.3232493056
2025-06-01,PhaseStructuralFusion,495.8629612153
2025-06-01,SSA best config,503.3450229666
2025-06-01,Yesterday,433.1049013889
2025-06-02,7-day same-slot mean,353.1679581346
2025-06-02,DLinear,529.8790475785
2025-06-02,Last Week,376.0736715278
2025-06-02,PhaseStructuralFusion,335.3720544097
2025-06-02,SSA best config,559.2658949864
2025-06-02,Yesterday,353.2597361111
2025-06-03,7-day same-slot mean,225.3845550598
2025-06-03,DLinear,553.4696641589
2025-06-03,Last Week,451.0007923611
2025-06-03,PhaseStructuralFusion,259.4669367014
2025-06-03,SSA best config,263.6147819631
2025-06-03,Yesterday,269.4557152778
2025-06-04,7-day same-slot mean,201.5239124999
2025-06-04,DLinear,602.2338728155
2025-06-04,Last Week,384.7234770833
2025-06-04,PhaseStructuralFusion,236.0732713542
2025-06-04,SSA best config,251.8246673054
2025-06-04,Yesterday,202.1522666667
2025-06-05,7-day same-slot mean,224.3637267856
2025-06-05,DLinear,491.6352556897
2025-06-05,Last Week,379.1365048611
2025-06-05,PhaseStructuralFusion,218.2377103472
2025-06-05,SSA best config,186.3923634565
2025-06-05,Yesterday,193.2609840278
2025-06-06,7-day same-slot mean,379.2590815476
2025-06-06,DLinear,565.1681819841
2025-06-06,Last Week,672.2894534722
2025-06-06,PhaseStructuralFusion,427.0521514583
2025-06-06,SSA best config,305.1200989563
2025-06-06,Yesterday,261.1321034722
2025-06-07,7-day same-slot mean,280.0228049602
2025-06-07,DLinear,584.7634445444
2025-06-07,Last Week,598.2876854167
2025-06-07,PhaseStructuralFusion,285.9457859722
2025-06-07,SSA best config,252.3388538203
2025-06-07,Yesterday,202.2908576389
2025-06-08,7-day same-slot mean,288.3201671628
2025-06-08,DLinear,741.1403566701
2025-06-08,Last Week,353.9008256944
2025-06-08,PhaseStructuralFusion,399.3601933681
2025-06-08,SSA best config,578.6136307685
2025-06-08,Yesterday,477.5011555556
2025-06-09,7-day same-slot mean,147.3552263888
2025-06-09,DLinear,520.4912628178
2025-06-09,Last Week,204.0370451389
2025-06-09,PhaseStructuralFusion,209.0663167708
2025-06-09,SSA best config,267.6955604281
2025-06-09,Yesterday,277.5393972222
2025-06-10,7-day same-slot mean,149.3618804565
2025-06-10,DLinear,532.4910556015
2025-06-10,Last Week,283.3813604167
2025-06-10,PhaseStructuralFusion,206.6298712847
2025-06-10,SSA best config,194.1982138078
2025-06-10,Yesterday,188.5254208333
2025-06-11,7-day same-slot mean,205.5016260912
2025-06-11,DLinear,524.3429481945
2025-06-11,Last Week,299.5215861111
2025-06-11,PhaseStructuralFusion,241.8768074653
2025-06-11,SSA best config,246.3557776324
2025-06-11,Yesterday,230.2713826389
2025-06-12,7-day same-slot mean,101.2185152778
2025-06-12,DLinear,516.5570133301
2025-06-12,Last Week,158.7798847222
2025-06-12,PhaseStructuralFusion,136.1164346875
2025-06-12,SSA best config,240.4233260222
2025-06-12,Yesterday,198.9824868056
2025-06-13,7-day same-slot mean,194.7594306550
2025-06-13,DLinear,442.3837195762
2025-06-13,Last Week,246.2748111111
2025-06-13,PhaseStructuralFusion,231.5805979514
2025-06-13,SSA best config,253.3376679842
2025-06-13,Yesterday,243.3500076389
2025-06-14,7-day same-slot mean,144.7345080358
2025-06-14,DLinear,589.7701018800
2025-06-14,Last Week,245.9848909722
2025-06-14,PhaseStructuralFusion,229.3678367014
2025-06-14,SSA best config,299.8598221873
2025-06-14,Yesterday,271.4080111111
2025-06-15,7-day same-slot mean,154.9896663691
2025-06-15,DLinear,588.2791334529
2025-06-15,Last Week,345.1433097222
2025-06-15,PhaseStructuralFusion,233.6605076736
2025-06-15,SSA best config,193.3120149973
2025-06-15,Yesterday,202.7086520833
2025-06-16,7-day same-slot mean,112.8194791668
2025-06-16,DLinear,512.1108722360
2025-06-16,Last Week,199.9840104167
2025-06-16,PhaseStructuralFusion,167.4072895139
2025-06-16,SSA best config,198.2087926577
2025-06-16,Yesterday,186.0118923611
2025-06-17,7-day same-slot mean,183.6931644842
2025-06-17,DLinear,620.6406266003
2025-06-17,Last Week,237.8110763889
2025-06-17,PhaseStructuralFusion,204.1182281597
2025-06-17,SSA best config,270.4356881930
2025-06-17,Yesterday,210.5479451389
2025-06-18,7-day same-slot mean,123.3588311511
2025-06-18,DLinear,568.1503668862
2025-06-18,Last Week,224.6488854167
2025-06-18,PhaseStructuralFusion,193.0494186458
2025-06-18,SSA best config,283.3464443516
2025-06-18,Yesterday,207.0650972222
2025-06-19,7-day same-slot mean,217.9586337301
2025-06-19,DLinear,644.2326008826
2025-06-19,Last Week,228.9054534722
2025-06-19,PhaseStructuralFusion,216.9490322222
2025-06-19,SSA best config,266.8430146860
2025-06-19,Yesterday,230.6638868056
2025-06-20,7-day same-slot mean,156.1202538689
2025-06-20,DLinear,605.7390423242
2025-06-20,Last Week,247.6036652778
2025-06-20,PhaseStructuralFusion,163.4275720139
2025-06-20,SSA best config,165.3871336870
2025-06-20,Yesterday,178.6662583333
2025-06-21,7-day same-slot mean,286.2827227185
2025-06-21,DLinear,728.9150911581
2025-06-21,Last Week,346.6404819444
2025-06-21,PhaseStructuralFusion,281.7155452083
2025-06-21,SSA best config,266.6908099483
2025-06-21,Yesterday,249.7164722222
2025-06-22,7-day same-slot mean,185.7651188492
2025-06-22,DLinear,694.3011192901
2025-06-22,Last Week,194.8495777778
2025-06-22,PhaseStructuralFusion,233.8854791319
2025-06-22,SSA best config,326.6480841675
2025-06-22,Yesterday,306.4238340278
2025-06-23,7-day same-slot mean,141.3282684524
2025-06-23,DLinear,642.4483560867
2025-06-23,Last Week,221.5400854167
2025-06-23,PhaseStructuralFusion,160.2665897569
2025-06-23,SSA best config,205.4737918318
2025-06-23,Yesterday,169.5304250000
2025-06-24,7-day same-slot mean,308.4101696430
2025-06-24,DLinear,558.5567806148
2025-06-24,Last Week,262.2078354167
2025-06-24,PhaseStructuralFusion,286.0814268056
2025-06-24,SSA best config,379.1301114808
2025-06-24,Yesterday,389.1262812500
2025-06-25,7-day same-slot mean,180.3751524802
2025-06-25,DLinear,640.7671552717
2025-06-25,Last Week,196.0044604167
2025-06-25,PhaseStructuralFusion,184.2612007292
2025-06-25,SSA best config,292.5548752929
2025-06-25,Yesterday,246.1419097222
2025-06-26,7-day same-slot mean,178.8358486117
2025-06-26,DLinear,560.0733099931
2025-06-26,Last Week,220.0364916667
2025-06-26,PhaseStructuralFusion,167.7289822222
2025-06-26,SSA best config,262.9044789784
2025-06-26,Yesterday,210.6975597222
2025-06-27,7-day same-slot mean,135.2840384922
2025-06-27,DLinear,589.7150651483
2025-06-27,Last Week,147.2797944444
2025-06-27,PhaseStructuralFusion,120.2374822222
2025-06-27,SSA best config,176.1115867340
2025-06-27,Yesterday,157.5036347222
2025-06-28,7-day same-slot mean,180.3540760912
2025-06-28,DLinear,603.5093936457
2025-06-28,Last Week,196.9934993056
2025-06-28,PhaseStructuralFusion,151.4364683333
2025-06-28,SSA best config,165.3503033600
2025-06-28,Yesterday,161.5037395833
2025-06-29,7-day same-slot mean,164.4513732145
2025-06-29,DLinear,635.5908067843
2025-06-29,Last Week,248.4509777778
2025-06-29,PhaseStructuralFusion,208.4269079861
2025-06-29,SSA best config,222.9100873208
2025-06-29,Yesterday,239.1359472222
2025-06-30,7-day same-slot mean,154.3115106147
2025-06-30,DLinear,553.8058838228
2025-06-30,Last Week,268.3826979167
2025-06-30,PhaseStructuralFusion,184.1967887500
2025-06-30,SSA best config,195.2556493994
2025-06-30,Yesterday,176.5017187500
2025-07-01,7-day same-slot mean,245.1369900792
2025-07-01,DLinear,708.0620183209
2025-07-01,Last Week,493.3689277778
2025-07-01,PhaseStructuralFusion,373.5297409722
2025-07-01,SSA best config,302.7134195358
2025-07-01,Yesterday,288.6745138889
2025-07-02,7-day same-slot mean,408.2723772820
2025-07-02,DLinear,895.1792470914
2025-07-02,Last Week,521.9297923611
2025-07-02,PhaseStructuralFusion,369.9502019444
2025-07-02,SSA best config,327.6110109633
2025-07-02,Yesterday,254.5357965278
2025-07-03,7-day same-slot mean,122.5063749010
2025-07-03,DLinear,624.1273692876
2025-07-03,Last Week,205.6611750000
2025-07-03,PhaseStructuralFusion,150.6934701042
2025-07-03,SSA best config,320.1161431710
2025-07-03,Yesterday,279.3832256944
2025-07-04,7-day same-slot mean,261.8044692463
2025-07-04,DLinear,775.8009264978
2025-07-04,Last Week,296.9073604167
2025-07-04,PhaseStructuralFusion,251.8997210417
2025-07-04,SSA best config,283.1487961676
2025-07-04,Yesterday,237.2111229167
2025-07-05,7-day same-slot mean,238.7230922618
2025-07-05,DLinear,762.7383631891
2025-07-05,Last Week,361.2652812500
2025-07-05,PhaseStructuralFusion,219.2400343750
2025-07-05,SSA best config,131.9400125281
2025-07-05,Yesterday,163.0291701389
2025-07-06,7-day same-slot mean,197.6858520833
2025-07-06,DLinear,577.3996222890
2025-07-06,Last Week,275.2191784722
2025-07-06,PhaseStructuralFusion,190.0022199653
2025-07-06,SSA best config,297.8890708683
2025-07-06,Yesterday,267.5180069444
2025-07-07,7-day same-slot mean,203.6839614088
2025-07-07,DLinear,738.4256399932
2025-07-07,Last Week,501.4047895833
2025-07-07,PhaseStructuralFusion,378.6785400000
2025-07-07,SSA best config,324.4294934731
2025-07-07,Yesterday,305.7145409722
2025-07-08,7-day same-slot mean,192.2510446426
2025-07-08,DLinear,620.4549675383
2025-07-08,Last Week,266.4093576389
2025-07-08,PhaseStructuralFusion,236.2223021181
2025-07-08,SSA best config,213.1029565489
2025-07-08,Yesterday,265.4616763889
2025-07-09,7-day same-slot mean,143.5382473217
2025-07-09,DLinear,629.7160223749
2025-07-09,Last Week,178.8392305556
2025-07-09,PhaseStructuralFusion,182.3147173611
2025-07-09,SSA best config,222.8439098942
2025-07-09,Yesterday,239.7923486111
2025-07-10,7-day same-slot mean,124.9584988094
2025-07-10,DLinear,666.9116300275
2025-07-10,Last Week,282.2794347222
2025-07-10,PhaseStructuralFusion,187.9091628125
2025-07-10,SSA best config,128.0912142378
2025-07-10,Yesterday,198.1974631944
2025-07-11,7-day same-slot mean,266.9010788690
2025-07-11,DLinear,596.1258362873
2025-07-11,Last Week,316.5005388889
2025-07-11,PhaseStructuralFusion,302.9398246181
2025-07-11,SSA best config,316.6589902794
2025-07-11,Yesterday,301.4552590278
2025-07-12,7-day same-slot mean,114.1398136905
2025-07-12,DLinear,572.2542788934
2025-07-12,Last Week,165.3392805556
2025-07-12,PhaseStructuralFusion,132.6969641319
2025-07-12,SSA best config,211.4650820804
2025-07-12,Yesterday,212.3413687500
2025-07-13,7-day same-slot mean,241.5905139880
2025-07-13,DLinear,768.3796443011
2025-07-13,Last Week,409.5323756944
2025-07-13,PhaseStructuralFusion,330.4388034722
2025-07-13,SSA best config,314.0958061149
2025-07-13,Yesterday,271.6851979167
2025-07-14,7-day same-slot mean,142.8624819445
2025-07-14,DLinear,673.3333235906
2025-07-14,Last Week,133.9508305556
2025-07-14,PhaseStructuralFusion,130.4249322222
2025-07-14,SSA best config,211.7327027973
2025-07-14,Yesterday,197.8405319444
2025-07-15,7-day same-slot mean,238.6825325396
2025-07-15,DLinear,703.4583666073
2025-07-15,Last Week,351.1428986111
2025-07-15,PhaseStructuralFusion,236.2448211111
2025-07-15,SSA best config,277.3707422665
2025-07-15,Yesterday,224.3230347222
2025-07-16,7-day same-slot mean,146.5548768849
2025-07-16,DLinear,682.3846790219
2025-07-16,Last Week,169.5101701389
2025-07-16,PhaseStructuralFusion,129.7820270833
2025-07-16,SSA best config,226.5636354881
2025-07-16,Yesterday,153.9605659722
2025-07-17,7-day same-slot mean,125.8836110122
2025-07-17,DLinear,588.5313163074
2025-07-17,Last Week,110.6513465278
2025-07-17,PhaseStructuralFusion,139.4645484028
2025-07-17,SSA best config,136.3858370132
2025-07-17,Yesterday,202.7212145833
2025-07-18,7-day same-slot mean,208.2322737106
2025-07-18,DLinear,592.2840165402
2025-07-18,Last Week,159.9192979167
2025-07-18,PhaseStructuralFusion,148.6117569444
2025-07-18,SSA best config,259.6455747875
2025-07-18,Yesterday,228.7108493056
2025-07-19,7-day same-slot mean,123.4600457341
2025-07-19,DLinear,654.3644695747
2025-07-19,Last Week,150.0011687500
2025-07-19,PhaseStructuralFusion,190.5677476389
2025-07-19,SSA best config,313.2637792395
2025-07-19,Yesterday,234.7283187500
2025-07-20,7-day same-slot mean,113.3139339283
2025-07-20,DLinear,630.9178988099
2025-07-20,Last Week,220.6802555556
2025-07-20,PhaseStructuralFusion,179.6669936111
2025-07-20,SSA best config,177.3637272070
2025-07-20,Yesterday,181.2786722222
2025-07-21,7-day same-slot mean,156.5124146822
2025-07-21,DLinear,580.9448350810
2025-07-21,Last Week,257.2915944444
2025-07-21,PhaseStructuralFusion,209.8265974306
2025-07-21,SSA best config,218.6678576035
2025-07-21,Yesterday,205.6314416667
2025-07-22,7-day same-slot mean,178.8358463296
2025-07-22,DLinear,640.1629199545
2025-07-22,Last Week,249.2193034722
2025-07-22,PhaseStructuralFusion,214.4349329861
2025-07-22,SSA best config,266.9356639357
2025-07-22,Yesterday,232.4539923611
2025-07-23,7-day same-slot mean,158.1924583332
2025-07-23,DLinear,579.6031843076
2025-07-23,Last Week,227.4893958333
2025-07-23,PhaseStructuralFusion,196.8862280556
2025-07-23,SSA best config,195.8686370909
2025-07-23,Yesterday,242.1128222222
2025-07-24,7-day same-slot mean,201.9041885911
2025-07-24,DLinear,626.7521838815
2025-07-24,Last Week,239.2027263889
2025-07-24,PhaseStructuralFusion,213.0722399653
2025-07-24,SSA best config,247.1354022656
2025-07-24,Yesterday,227.6636173611
2025-07-25,7-day same-slot mean,107.8571866069
2025-07-25,DLinear,632.9331266190
2025-07-25,Last Week,182.6590006944
2025-07-25,PhaseStructuralFusion,151.1466344792
2025-07-25,SSA best config,276.7227620251
2025-07-25,Yesterday,223.2730333333
2025-07-26,7-day same-slot mean,142.7595219247
2025-07-26,DLinear,601.3933128838
2025-07-26,Last Week,234.8261770833
2025-07-26,PhaseStructuralFusion,179.6014213889
2025-07-26,SSA best config,227.6303477062
2025-07-26,Yesterday,175.3534048611
2025-07-27,7-day same-slot mean,145.1581993055
2025-07-27,DLinear,529.2666778103
2025-07-27,Last Week,200.3422305556
2025-07-27,PhaseStructuralFusion,180.8730385069
2025-07-27,SSA best config,203.3535926554
2025-07-27,Yesterday,191.0237229167
2025-07-28,7-day same-slot mean,212.0519517857
2025-07-28,DLinear,532.5234284284
2025-07-28,Last Week,202.1357909722
2025-07-28,PhaseStructuralFusion,207.9378341667
2025-07-28,SSA best config,301.9178246326
2025-07-28,Yesterday,238.0383854167
2025-07-29,7-day same-slot mean,169.9716693452
2025-07-29,DLinear,620.4522785151
2025-07-29,Last Week,234.8570972222
2025-07-29,PhaseStructuralFusion,156.7038431250
2025-07-29,SSA best config,301.3203994177
2025-07-29,Yesterday,202.1581083333
2025-07-30,7-day same-slot mean,168.8596206352
2025-07-30,DLinear,582.2915408765
2025-07-30,Last Week,184.3797284722
2025-07-30,PhaseStructuralFusion,160.3669600694
2025-07-30,SSA best config,287.7476088398
2025-07-30,Yesterday,249.5832270833
2025-07-31,7-day same-slot mean,112.8749473214
2025-07-31,DLinear,550.7647751169
2025-07-31,Last Week,217.3180861111
2025-07-31,PhaseStructuralFusion,149.5372404861
2025-07-31,SSA best config,201.7442283164
2025-07-31,Yesterday,196.6458138889
2025-08-01,7-day same-slot mean,333.0072823413
2025-08-01,DLinear,857.9440204990
2025-08-01,Last Week,246.8531812500
2025-08-01,PhaseStructuralFusion,311.1833818750
2025-08-01,SSA best config,414.1460373404
2025-08-01,Yesterday,368.5576062500
2025-08-02,7-day same-slot mean,270.1971706349
2025-08-02,DLinear,799.8644670535
2025-08-02,Last Week,281.3829909722
2025-08-02,PhaseStructuralFusion,162.8975915278
2025-08-02,SSA best config,170.2457360475
2025-08-02,Yesterday,148.0371923611
2025-08-03,7-day same-slot mean,421.4770363094
2025-08-03,DLinear,951.0175710487
2025-08-03,Last Week,454.4821965278
2025-08-03,PhaseStructuralFusion,328.1962727083
2025-08-03,SSA best config,345.1247206695
2025-08-03,Yesterday,241.2769062500
2025-08-04,7-day same-slot mean,268.5468788690
2025-08-04,DLinear,807.7789517834
2025-08-04,Last Week,533.7917194444
2025-08-04,PhaseStructuralFusion,195.1611368056
2025-08-04,SSA best config,210.5710594785
2025-08-04,Yesterday,144.9570319444
2025-08-05,7-day same-slot mean,157.6549968257
2025-08-05,DLinear,699.2980109741
2025-08-05,Last Week,416.1141256944
2025-08-05,PhaseStructuralFusion,168.0641366667
2025-08-05,SSA best config,212.2049996851
2025-08-05,Yesterday,139.5148104167
2025-08-06,7-day same-slot mean,193.9167019844
2025-08-06,DLinear,587.7636147897
2025-08-06,Last Week,321.9212701389
2025-08-06,PhaseStructuralFusion,258.3450195139
2025-08-06,SSA best config,289.1245712106
2025-08-06,Yesterday,234.6870645833
2025-08-07,7-day same-slot mean,146.9247150793
2025-08-07,DLinear,715.5530058515
2025-08-07,Last Week,453.5555472222
2025-08-07,PhaseStructuralFusion,322.5405723958
2025-08-07,SSA best config,280.9268566442
2025-08-07,Yesterday,238.1222729167
2025-08-08,7-day same-slot mean,197.2882949403
2025-08-08,DLinear,711.4535968717
2025-08-08,Last Week,239.9340833333
2025-08-08,PhaseStructuralFusion,177.8069919097
2025-08-08,SSA best config,179.4111348686
2025-08-08,Yesterday,148.1450743056
2025-08-09,7-day same-slot mean,150.7216319447
2025-08-09,DLinear,608.3314888836
2025-08-09,Last Week,190.5695750000
2025-08-09,PhaseStructuralFusion,171.9286761458
2025-08-09,SSA best config,292.7906760803
2025-08-09,Yesterday,218.1769201389
2025-08-10,7-day same-slot mean,164.6169929560
2025-08-10,DLinear,618.0314409455
2025-08-10,Last Week,247.4670930556
2025-08-10,PhaseStructuralFusion,182.1992660764
2025-08-10,SSA best config,218.1645991287
2025-08-10,Yesterday,150.4766479167
2025-08-11,7-day same-slot mean,131.9846214287
2025-08-11,DLinear,622.7716122051
2025-08-11,Last Week,162.5960173611
2025-08-11,PhaseStructuralFusion,149.4060989583
2025-08-11,SSA best config,203.0217248863
2025-08-11,Yesterday,169.2762118056
2025-08-12,7-day same-slot mean,197.5898875992
2025-08-12,DLinear,590.0038507912
2025-08-12,Last Week,194.7821583333
2025-08-12,PhaseStructuralFusion,203.3783409028
2025-08-12,SSA best config,279.8540778369
2025-08-12,Yesterday,226.7297541667
2025-08-13,7-day same-slot mean,141.4114301589
2025-08-13,DLinear,619.3745908486
2025-08-13,Last Week,229.2845736111
2025-08-13,PhaseStructuralFusion,158.4112982292
2025-08-13,SSA best config,254.5678762755
2025-08-13,Yesterday,166.2007118056
2025-08-14,7-day same-slot mean,144.5169832342
2025-08-14,DLinear,566.0694086365
2025-08-14,Last Week,221.4611805556
2025-08-14,PhaseStructuralFusion,178.4877501042
2025-08-14,SSA best config,225.8043120350
2025-08-14,Yesterday,202.1680076389
2025-08-15,7-day same-slot mean,133.0141614085
2025-08-15,DLinear,649.8035189187
2025-08-15,Last Week,136.9047118056
2025-08-15,PhaseStructuralFusion,115.1256848264
2025-08-15,SSA best config,235.9079646149
2025-08-15,Yesterday,170.3172486111
2025-08-16,7-day same-slot mean,150.7206722222
2025-08-16,DLinear,676.8447885177
2025-08-16,Last Week,183.9689277778
2025-08-16,PhaseStructuralFusion,155.9173164583
2025-08-16,SSA best config,236.1008572497
2025-08-16,Yesterday,189.0460486111
2025-08-17,7-day same-slot mean,139.9349339289
2025-08-17,DLinear,665.6797733722
2025-08-17,Last Week,162.5887493056
2025-08-17,PhaseStructuralFusion,184.6142357292
2025-08-17,SSA best config,274.5543970638
2025-08-17,Yesterday,240.4427000000
2025-08-18,7-day same-slot mean,132.5581404760
2025-08-18,DLinear,598.9632659952
2025-08-18,Last Week,183.9812993056
2025-08-18,PhaseStructuralFusion,160.9772011806
2025-08-18,SSA best config,194.0479805992
2025-08-18,Yesterday,166.9815729167
2025-08-19,7-day same-slot mean,126.3125110118
2025-08-19,DLinear,603.5704344951
2025-08-19,Last Week,183.6563270833
2025-08-19,PhaseStructuralFusion,132.3349631597
2025-08-19,SSA best config,215.1296070297
2025-08-19,Yesterday,193.6365722222
2025-08-20,7-day same-slot mean,317.7454430555
2025-08-20,DLinear,526.3140137022
2025-08-20,Last Week,279.9901402778
2025-08-20,PhaseStructuralFusion,295.6426275694
2025-08-20,SSA best config,418.9898229851
2025-08-20,Yesterday,330.8395527778
2025-08-21,7-day same-slot mean,163.4802014882
2025-08-21,DLinear,599.8142346541
2025-08-21,Last Week,215.7978458333
2025-08-21,PhaseStructuralFusion,206.3278671181
2025-08-21,SSA best config,417.6441596141
2025-08-21,Yesterday,256.4578562500
2025-08-22,7-day same-slot mean,159.0455206349
2025-08-22,DLinear,565.0007978463
2025-08-22,Last Week,225.8345076389
2025-08-22,PhaseStructuralFusion,158.3557086111
2025-08-22,SSA best config,235.3326058560
2025-08-22,Yesterday,166.1701979167
2025-08-23,7-day same-slot mean,160.6505924603
2025-08-23,DLinear,537.2278573858
2025-08-23,Last Week,270.6496291667
2025-08-23,PhaseStructuralFusion,219.4707673958
2025-08-23,SSA best config,298.2953940137
2025-08-23,Yesterday,208.1448145833
2025-08-24,7-day same-slot mean,203.7296873016
2025-08-24,DLinear,648.7465927304
2025-08-24,Last Week,239.1194875000
2025-08-24,PhaseStructuralFusion,237.8941322917
2025-08-24,SSA best config,339.3655412363
2025-08-24,Yesterday,284.2073208333
2025-08-25,7-day same-slot mean,250.6124391864
2025-08-25,DLinear,504.6469556676
2025-08-25,Last Week,362.0667222222
2025-08-25,PhaseStructuralFusion,343.8839002431
2025-08-25,SSA best config,360.2336002297
2025-08-25,Yesterday,333.6039159722
2025-08-26,7-day same-slot mean,143.2337523808
2025-08-26,DLinear,551.3329689070
2025-08-26,Last Week,203.2798006944
2025-08-26,PhaseStructuralFusion,184.5116381250
2025-08-26,SSA best config,340.6103521216
2025-08-26,Yesterday,255.7227173611
2025-08-27,7-day same-slot mean,159.4088873018
2025-08-27,DLinear,505.3370687044
2025-08-27,Last Week,250.5007597222
2025-08-27,PhaseStructuralFusion,152.2347139931
2025-08-27,SSA best config,223.5409390617
2025-08-27,Yesterday,176.5978326389
2025-08-28,7-day same-slot mean,249.9020756944
2025-08-28,DLinear,552.2285030810
2025-08-28,Last Week,282.9048708333
2025-08-28,PhaseStructuralFusion,217.3506564236
2025-08-28,SSA best config,356.1630220637
2025-08-28,Yesterday,251.5938687500
2025-08-29,7-day same-slot mean,133.6148996032
2025-08-29,DLinear,490.5127940280
2025-08-29,Last Week,233.7790444444
2025-08-29,PhaseStructuralFusion,180.7075873264
2025-08-29,SSA best config,330.2484026288
2025-08-29,Yesterday,227.6557784722
2025-08-30,7-day same-slot mean,210.5143919639
2025-08-30,DLinear,649.2213381478
2025-08-30,Last Week,282.0942694444
2025-08-30,PhaseStructuralFusion,255.5751562847
2025-08-30,SSA best config,353.1823106558
2025-08-30,Yesterday,266.4291909722
2025-08-31,7-day same-slot mean,127.3037223215
2025-08-31,DLinear,513.7788476509
2025-08-31,Last Week,245.4464666667
2025-08-31,PhaseStructuralFusion,228.6470534028
2025-08-31,SSA best config,260.1928910994
2025-08-31,Yesterday,219.4715388889
2025-09-01,7-day same-slot mean,166.2879097221
2025-09-01,DLinear,620.7505096297
2025-09-01,Last Week,229.5844625000
2025-09-01,PhaseStructuralFusion,161.4269253125
2025-09-01,SSA best config,300.9824203083
2025-09-01,Yesterday,136.3547534722
2025-09-02,7-day same-slot mean,137.3746950395
2025-09-02,DLinear,533.1182914208
2025-09-02,Last Week,180.8850131944
2025-09-02,PhaseStructuralFusion,168.9537938542
2025-09-02,SSA best config,215.0766694866
2025-09-02,Yesterday,219.6883402778
2025-09-03,7-day same-slot mean,170.0872125000
2025-09-03,DLinear,502.5393132669
2025-09-03,Last Week,181.5354076389
2025-09-03,PhaseStructuralFusion,200.4552794444
2025-09-03,SSA best config,288.2580190402
2025-09-03,Yesterday,235.5067854167
2025-09-04,7-day same-slot mean,187.2621110118
2025-09-04,DLinear,541.4260382254
2025-09-04,Last Week,355.7114722222
2025-09-04,PhaseStructuralFusion,238.7183914583
2025-09-04,SSA best config,243.5515621752
2025-09-04,Yesterday,198.9526541667
2025-09-05,7-day same-slot mean,110.7180354164
2025-09-05,DLinear,555.6114338663
2025-09-05,Last Week,171.0246048611
2025-09-05,PhaseStructuralFusion,153.5929029514
2025-09-05,SSA best config,284.8921536747
2025-09-05,Yesterday,196.5733625000
2025-09-06,7-day same-slot mean,240.3230366072
2025-09-06,DLinear,535.8146961985
2025-09-06,Last Week,324.1357937500
2025-09-06,PhaseStructuralFusion,267.8398704167
2025-09-06,SSA best config,284.4038646479
2025-09-06,Yesterday,228.5118604167
2025-09-07,7-day same-slot mean,114.9855286705
2025-09-07,DLinear,470.5392890077
2025-09-07,Last Week,175.7340194444
