period,scope_type,scope_value,method,n,mae_kw,rmse_kw,bias_kw,nrmse_pct
evaluation,lead_bin,4-6h,七日同刻均值,4008,151.0639756202,308.7414126200,2.5699823567,3.0886843476
evaluation,lead_bin,4-6h,静态凸融合,4008,132.7901689748,272.4140706470,1.9731082263,2.7252614702
evaluation,lead_bin,4-6h,提前期分箱融合,4008,91.5704828130,189.7395349903,0.3899999229,1.8981759748
evaluation,lead_bin,4-6h,发布时间分组融合,4008,102.5974985581,200.3175986708,0.5015724828,2.0040001318
evaluation,lead_bin,4-6h,在线因果融合,4008,151.0639756202,308.7414126200,2.5699823567,3.0886843476
evaluation,lead_bin,7-12h,官方预测,8010,149.6218472285,306.2608305247,-16.8076723221,3.0638683211
evaluation,lead_bin,7-12h,昨日同刻,8010,186.5629119850,376.8337000877,0.7682677903,3.7698873671
evaluation,lead_bin,7-12h,上周同刻,8010,216.0443679775,422.2866688620,4.6463249064,4.2246040570
evaluation,lead_bin,7-12h,七日同刻均值,8010,153.8685426699,305.3972387189,2.7611697432,3.0552288501
evaluation,lead_bin,7-12h,静态凸融合,8010,137.9464307833,273.1914105232,0.3507803297,2.7330380671
evaluation,lead_bin,7-12h,提前期分箱融合,8010,126.4866926656,250.0695775325,-1.7802551383,2.5017246096
evaluation,lead_bin,7-12h,发布时间分组融合,8010,128.1154648862,257.7017190137,-1.1103754081,2.5780774245
evaluation,lead_bin,7-12h,在线因果融合,8010,153.8685426699,305.3972387189,2.7611697432,3.0552288501
evaluation,lead_bin,13-18h,官方预测,8004,231.2561562594,465.3026354885,-41.6821614068,4.6549406992
evaluation,lead_bin,13-18h,昨日同刻,8004,186.5404188531,376.8873886894,0.9311890930,3.7704244740
evaluation,lead_bin,13-18h,上周同刻,8004,216.1080959520,422.4279648010,4.7296101949,4.2260175977
evaluation,lead_bin,13-18h,七日同刻均值,8004,153.8946823463,305.4839454352,2.8499230296,3.0560962739
evaluation,lead_bin,13-18h,静态凸融合,8004,139.1908456563,275.4460409407,-2.6353103086,2.7555936473
evaluation,lead_bin,13-18h,提前期分箱融合,8004,149.3478143251,296.3043611998,1.3942909155,2.9642626650
evaluation,lead_bin,13-18h,发布时间分组融合,8004,143.5711914669,284.5882676433,-0.6967303779,2.8470535272
evaluation,lead_bin,13-18h,在线因果融合,8004,153.8946823463,305.4839454352,2.8499230296,3.0560962739
evaluation,lead_bin,19-24h,官方预测,7998,329.2784251813,689.5368020958,-70.5169257064,6.8982049077
evaluation,lead_bin,19-24h,昨日同刻,7998,186.5282914479,376.9598322347,0.8763597149,3.7711492075
evaluation,lead_bin,19-24h,上周同刻,7998,216.1349071643,422.5235062332,4.6428310203,4.2269734051
evaluation,lead_bin,19-24h,七日同刻均值,7998,153.9374350284,305.5785477346,2.8642060069,3.0570426862
evaluation,lead_bin,19-24h,静态凸融合,7998,144.9300105261,289.8927561819,-6.1745047375,2.9001202363
evaluation,lead_bin,19-24h,提前期分箱融合,7998,146.2630277526,291.6229909001,-3.6619279492,2.9174297020
evaluation,lead_bin,19-24h,发布时间分组融合,7998,146.3695546368,292.2350316139,-4.5368812329,2.9235526272
evaluation,lead_bin,19-24h,在线因果融合,7998,153.9374350284,305.5785477346,2.8642060069,3.0570426862
evaluation,release_hour,0,官方预测,8016,186.7346709830,378.6842131115,-28.6975122006,3.7884001107
evaluation,release_hour,0,昨日同刻,8016,186.4232690868,376.6926431110,0.7676927395,3.7684762170
evaluation,release_hour,0,上周同刻,8016,215.8826581213,422.1285978593,4.6428471183,4.2230226967
evaluation,release_hour,0,七日同刻均值,8016,153.7533716050,305.2829219495,2.7591029994,3.0540852120
evaluation,release_hour,0,静态凸融合,8016,139.4173191071,275.8313095969,-1.1155612250,2.7594479189
evaluation,release_hour,0,提前期分箱融合,8016,137.0114897258,271.0414742866,-0.9694480146,2.7115298595
evaluation,release_hour,0,发布时间分组融合,8016,143.8018714786,284.8044321787,0.1888148139,2.8492160619
evaluation,release_hour,0,在线因果融合,8016,153.7533716050,305.2829219495,2.7591029994,3.0540852120
evaluation,release_hour,6,官方预测,8010,100.1061586642,211.0144580469,-6.9219480524,2.1110127345
evaluation,release_hour,6,昨日同刻,8010,186.5629119850,376.8337000877,0.7682677903,3.7698873671
evaluation,release_hour,6,上周同刻,8010,216.0443679775,422.2866688620,4.6463249064,4.2246040570
evaluation,release_hour,6,七日同刻均值,8010,153.8685426699,305.3972387189,2.7611697432,3.0552288501
evaluation,release_hour,6,静态凸融合,8010,135.8641163859,270.0921348778,1.5684530486,2.7020325597
evaluation,release_hour,6,提前期分箱融合,8010,96.3358134801,202.9893072065,-0.6209438683,2.0307282090
